title|likes|url
In the Bleak Midwinter;|3900000|https://www.webtoons.com/en/sf/in-the-bleak-midwinter/list?title_no=1946
The Ember Knight|3600000|https://www.webtoons.com/en/fantasy/the-ember-knight/list?title_no=2886
Random Chat|3600000|https://www.webtoons.com/en/drama/random-chat/list?title_no=1669
Bailin and Li Yun|3600000|https://www.webtoons.com/en/romance/bailin-and-li-yun/list?title_no=5878
+99 Reinforced Wooden Stick|3500000|https://www.webtoons.com/en/comedy/99-reinforced-wooden-stick/list?title_no=4286
To Whom It No Longer Concerns|3400000|https://www.webtoons.com/en/drama/to-whom-it-no-longer-concerns/list?title_no=6476
EMPYREA|3400000|https://www.webtoons.com/en/fantasy/empyrea/list?title_no=1407
The Spark in Your Eyes|3300000|https://www.webtoons.com/en/fantasy/the-spark-in-your-eyes/list?title_no=3210
Nothing Special|3300000|https://www.webtoons.com/en/fantasy/nothing-special/list?title_no=1188
Zero Game|3200000|https://www.webtoons.com/en/fantasy/zero-game/list?title_no=1704
Urban Animal|3200000|https://www.webtoons.com/en/super-hero/urban-animal/list?title_no=1483
The Academy's Undercover Professor|3200000|https://www.webtoons.com/en/fantasy/the-academys-undercover-professor/list?title_no=4636
The Price Is Your Everything|3100000|https://www.webtoons.com/en/drama/the-price-is-your-everything/list?title_no=6054
The Dungeon Cleaning Life of a Once Genius Hunter|3100000|https://www.webtoons.com/en/action/the-dungeon-cleaning-life-of-a-once-genius-hunter/list?title_no=4677
The Dark Lord's Confession|3100000|https://www.webtoons.com/en/fantasy/the-dark-lords-confession/list?title_no=4464
The Blind Prince|3100000|https://www.webtoons.com/en/romance/the-blind-prince/list?title_no=2698
Blood Reverie|3100000|https://www.webtoons.com/en/romance/blood-reverie/list?title_no=2806
The Academy's Genius Swordsman|3000000|https://www.webtoons.com/en/fantasy/the-academys-genius-swordsman/list?title_no=5752
Death of a Pop Star|3000000|https://www.webtoons.com/en/romance/death-of-a-pop-star/list?title_no=2273
The Top Dungeon Farmer|2900000|https://www.webtoons.com/en/fantasy/the-top-dungeon-farmer/list?title_no=5656
Surviving the Game as a Barbarian|2900000|https://www.webtoons.com/en/fantasy/surviving-the-game-as-a-barbarian/list?title_no=5515
Ordeal|2900000|https://www.webtoons.com/en/action/ordeal/list?title_no=2729
Little Matcha Girl|2900000|https://www.webtoons.com/en/fantasy/little-matcha-girl/list?title_no=1665
Ingrid the Plague Doctor|2900000|https://www.webtoons.com/en/slice-of-life/ingrid-the-plague-doctor/list?title_no=3415
Auto Hunting With My Clones|2900000|https://www.webtoons.com/en/action/auto-hunting-with-my-clones/list?title_no=5034
The Red King|2800000|https://www.webtoons.com/en/supernatural/the-red-king/list?title_no=1687
The Lone Spellcaster|2800000|https://www.webtoons.com/en/fantasy/the-lone-spellcaster/list?title_no=3478
Selfish Romance|2800000|https://www.webtoons.com/en/romance/selfish-romance/list?title_no=6555
Manager Kim|2800000|https://www.webtoons.com/en/action/manager-kim/list?title_no=3917
I Abdicate My Title of Empress|2800000|https://www.webtoons.com/en/fantasy/i-abdicate-my-title-of-empress/list?title_no=5560
Daily JoJo|2800000|https://www.webtoons.com/en/romance/daily-jojo/list?title_no=3335
Best Teacher Baek|2800000|https://www.webtoons.com/en/action/best-teacher-baek/list?title_no=4153
Adopted by a Murderous Duke Family|2800000|https://www.webtoons.com/en/romance/adopted-by-a-murderous-duke-family/list?title_no=6146
Enrolling in the Transcendent Academy|2700000|https://www.webtoons.com/en/fantasy/enrolling-in-the-transcendent-academy/list?title_no=5420
To Tame a Fire|2600000|https://www.webtoons.com/en/supernatural/to-tame-a-fire/list?title_no=3763
The Reborn Young Lord is an Assassin|2600000|https://www.webtoons.com/en/fantasy/the-reborn-young-lord-is-an-assassin/list?title_no=6107
Re:Trailer Trash|2600000|https://www.webtoons.com/en/drama/re-trailer-trash/list?title_no=5776
Of Dark Lords and Cabbages|2600000|https://www.webtoons.com/en/romance/of-dark-lords-and-cabbages/list?title_no=2750
Obsidian Bride|2600000|https://www.webtoons.com/en/romance/obsidian-bride/list?title_no=5896
My Lucky Strike|2600000|https://www.webtoons.com/en/romance/my-lucky-strike/list?title_no=5444
Murim RPG Simulation|2600000|https://www.webtoons.com/en/action/murim-rpg-simulation/list?title_no=3779
Flawless|2600000|https://www.webtoons.com/en/romance/flawless/list?title_no=3264
Boundless Ascension|2600000|https://www.webtoons.com/en/action/boundless-ascension/list?title_no=5228
A Martial Master Wakes Up as a Concubine|2600000|https://www.webtoons.com/en/fantasy/a-martial-master-wakes-up-as-a-concubine/list?title_no=5732
The Warrior Returns|2500000|https://www.webtoons.com/en/action/the-warrior-returns/list?title_no=3265
The D!ckheads|2500000|https://www.webtoons.com/en/romance/the-dickheads/list?title_no=5114
Stalker x Stalker|2500000|https://www.webtoons.com/en/comedy/stalker-x-stalker/list?title_no=6080
Nano Machine|2500000|https://www.webtoons.com/en/action/nano-machine/list?title_no=4344
A Spell for a Smith|2500000|https://www.webtoons.com/en/fantasy/a-spell-for-a-smith/list?title_no=6078
WEBTOON Now|2400000|https://www.webtoons.com/en/tiptoon/webtoon-now/list?title_no=2025
The Reason for the Twin Lady’s Disguise|2400000|https://www.webtoons.com/en/romance/the-reason-for-the-twin-ladys-disguise/list?title_no=6315
Designated Bully|2400000|https://www.webtoons.com/en/action/designated-bully/list?title_no=4866
Who Stole the Empress?|2300000|https://www.webtoons.com/en/romance/who-stole-the-empress/list?title_no=5727
The Fox Club|2300000|https://www.webtoons.com/en/romance/the-fox-club/list?title_no=4079
The Build Up|2300000|https://www.webtoons.com/en/sports/the-build-up/list?title_no=2712
Shiloh|2300000|https://www.webtoons.com/en/thriller/shiloh/list?title_no=1649
Reincarnated as an Unruly Heir|2300000|https://www.webtoons.com/en/action/reincarnated-as-an-unruly-heir/list?title_no=3597
Locked Onto You|2300000|https://www.webtoons.com/en/romance/locked-onto-you/list?title_no=5450
Gul|2300000|https://www.webtoons.com/en/action/gul/list?title_no=2617
Double Click|2300000|https://www.webtoons.com/en/sports/double-click/list?title_no=3669
Don't Read This|2300000|https://www.webtoons.com/en/horror/dont-read-this/list?title_no=6018
Vampire Family|2200000|https://www.webtoons.com/en/comedy/vampire-family/list?title_no=6402
Trapped in a Soap Opera|2200000|https://www.webtoons.com/en/drama/trapped-in-a-soap-opera/list?title_no=6751
To Not Die|2200000|https://www.webtoons.com/en/drama/to-not-die/list?title_no=3787
The Princess's Jewels|2200000|https://www.webtoons.com/en/fantasy/the-princesss-jewels/list?title_no=2966
The Perfect Hybrid|2200000|https://www.webtoons.com/en/action/the-perfect-hybrid/list?title_no=5050
Kill the Dragon|2200000|https://www.webtoons.com/en/action/kill-the-dragon/list?title_no=4583
Childhood Friend Complex|2200000|https://www.webtoons.com/en/romance/childhood-friend-complex/list?title_no=6651
The Constellations Are My Disciples|2100000|https://www.webtoons.com/en/fantasy/the-constellations-are-my-disciples/list?title_no=5638
Smity and Majesty|2100000|https://www.webtoons.com/en/comedy/smity-and-majesty/list?title_no=2706
Neon Revenge|2100000|https://www.webtoons.com/en/action/neon-revenge/list?title_no=2510
Limit Breaker|2100000|https://www.webtoons.com/en/action/limit-breaker/list?title_no=4176
Life of a Quack Healer|2100000|https://www.webtoons.com/en/fantasy/life-of-a-quack-healer/list?title_no=5557
Just a Goblin|2100000|https://www.webtoons.com/en/fantasy/just-a-goblin/list?title_no=3514
Just Roommates|2100000|https://www.webtoons.com/en/comedy/just-roommates/list?title_no=6597
#Blessed|2100000|https://www.webtoons.com/en/drama/blessed/list?title_no=1193
World's Strongest Troll|2000000|https://www.webtoons.com/en/fantasy/worlds-strongest-troll/list?title_no=5315
Star Catcher|2000000|https://www.webtoons.com/en/romance/star-catcher/list?title_no=6510
Regina Rena: To the Unforgiven|2000000|https://www.webtoons.com/en/fantasy/regina-lena-to-the-unforgiven/list?title_no=3920
Paperteeth!|2000000|https://www.webtoons.com/en/comedy/paperteeth/list?title_no=5969
Hanlim Gym|2000000|https://www.webtoons.com/en/sports/hanlim-gym/list?title_no=2850
What the Evil Dragon Lives For|1900000|https://www.webtoons.com/en/romance/what-the-evil-dragon-lives-for/list?title_no=5844
Señorita Cometa|1900000|https://www.webtoons.com/en/mystery/senorita-cometa/list?title_no=3387
